simulation,block_length,cagr,maxdd,terminal_wealth_multiple,final_capital,hit_cagr_target,hit_drawdown_limit,hit_both,severe_drawdown
4961,6,0.10892653317240275,-0.16680055747960043,6.320714188067422,63207.141880674215,True,False,False,False
4962,6,0.11201422701199792,-0.13574477042964372,6.642034508861618,66420.34508861619,True,True,True,False
4963,6,0.08551463403965376,-0.16210015646472797,4.320191589436321,43201.915894363214,True,False,False,False
4964,6,0.09741735185883327,-0.18150651096448545,5.247641680651076,52476.41680651076,True,False,False,False
4965,6,0.10871588219505357,-0.11682752176526234,6.299336282028001,62993.36282028001,True,True,True,False
4966,6,0.13984274379513106,-0.0962607589515092,10.321308120249759,103213.08120249759,True,True,True,False
4967,6,0.1198087579267686,-0.18360459858985745,7.523134603070205,75231.34603070206,True,False,False,False
4968,6,0.11778509385034641,-0.15152360400734988,7.284335323228173,72843.35323228173,True,False,False,False
4969,6,0.16758973129670585,-0.10025053154326757,15.849288033273778,158492.88033273778,True,True,True,False
4970,6,0.08198481632111942,-0.26258993323405544,4.076406312113875,40764.063121138744,True,False,False,True
4971,6,0.10656289090612336,-0.13802682097966867,6.084718388693319,60847.18388693319,True,True,True,False
4972,6,0.08975074315713827,-0.14255478383079545,4.630926987020257,46309.269870202574,True,True,True,False
4973,6,0.11538618912073195,-0.10559240228775724,7.010524605971633,70105.24605971633,True,True,True,False
4974,6,0.11018686929302723,-0.14205432150263753,6.45005683030595,64500.5683030595,True,True,True,False
4975,6,0.13021035206839482,-0.092309252741829,8.87170669759372,88717.0669759372,True,True,True,False
4976,6,0.12292988169921881,-0.07709013323577507,7.9059741756633075,79059.74175663307,True,True,True,False
4977,6,0.1244410645235039,-0.08668500015241687,8.097875730347008,80978.75730347008,True,True,True,False
4978,6,0.14458568800688387,-0.11169038924387364,11.114626733718817,111146.26733718817,True,True,True,False
4979,6,0.09956014771345911,-0.13790420929738956,5.433404090420152,54334.040904201516,True,True,True,False
4980,6,0.11028563278572778,-0.1383128700543126,6.460297341431353,64602.97341431353,True,True,True,False
4981,6,0.1566281778550156,-0.10923450502925902,13.395395373785059,133953.9537378506,True,True,True,False
4982,6,0.11513093021548992,-0.14255478383079534,6.9819682779200845,69819.68277920084,True,True,True,False
4983,6,0.15119803295571632,-0.11479117438686881,12.31711584904064,123171.1584904064,True,True,True,False
4984,6,0.13020261545747736,-0.19249283922722626,8.870623753201707,88706.23753201707,True,False,False,False
4985,6,0.11044165778173198,-0.11427101727630906,6.476506416794953,64765.06416794953,True,True,True,False
4986,6,0.09226922370054802,-0.144411140182792,4.825543801241547,48255.43801241546,True,True,True,False
4987,6,0.09805536967319539,-0.09446513343426355,5.302316094082062,53023.16094082062,True,True,True,False
4988,6,0.07639833668436946,-0.13336817350162633,3.7169394601895855,37169.39460189585,True,True,True,False
4989,6,0.14755146696773713,-0.12720130658996165,11.63957373742763,116395.7373742763,True,True,True,False
4990,6,0.12478814777723368,-0.1749052890858056,8.14256767596341,81425.6767596341,True,False,False,False
4991,6,0.13615677669958215,-0.17361925234123732,9.742020231271525,97420.20231271525,True,False,False,False
4992,6,0.140412441885025,-0.07880391049765778,10.413691747690098,104136.91747690098,True,True,True,False
4993,6,0.09809073440549754,-0.1614963544639838,5.305362319279395,53053.623192793944,True,False,False,False
4994,6,0.11883327446820924,-0.186861522197585,7.407116388565793,74071.16388565794,True,False,False,False
4995,6,0.12279725454142443,-0.12959490480457547,7.889338667369104,78893.38667369104,True,True,True,False
4996,6,0.11543832473006099,-0.09744677053102524,7.016370663734062,70163.70663734061,True,True,True,False
4997,6,0.11062016811616604,-0.15551415549875403,6.495098525937174,64950.985259371744,True,False,False,False
4998,6,0.12052929113843014,-0.09993234844699328,7.609929682684519,76099.2968268452,True,True,True,False
4999,6,0.11396526944865437,-0.10753878424370344,6.8529533250744885,68529.53325074489,True,True,True,False
5000,6,0.133419633582337,-0.09784397720467564,9.331856318988885,93318.56318988885,True,True,True,False
5001,6,0.12992531538819563,-0.12933236800496029,8.831890520466832,88318.90520466832,True,True,True,False
5002,6,0.1525883333262239,-0.10538687655680623,12.58510694343968,125851.06943439679,True,True,True,False
5003,6,0.07430141867321738,-0.14699692057505687,3.589905321135464,35899.053211354636,True,True,True,False
5004,6,0.08962726666397858,-0.15066103733637926,4.62157845432428,46215.7845432428,True,False,False,False
5005,6,0.10811826520729162,-0.10080324663869944,6.239058002764187,62390.580027641874,True,True,True,False
